2026-04-01 18:39:38 | s05_patterns                   | INFO    |     IPO Base: 1.7% of rows match
2026-04-01 18:39:38 | s05_patterns                   | INFO    |   Detecting Breakouts…
2026-04-01 18:39:38 | s05_patterns                   | INFO    |     Breakout: 2.5% of rows pass
2026-04-01 18:39:38 | s05_patterns                   | INFO    |     Buy signals: VCP=2,692  Darvas=172  Power=0  IPO=14  Total=2,698
2026-04-01 18:39:38 | s05_patterns                   | INFO    | ✓ INDIA: 1858 tickers, 2,698 buy signals
2026-04-01 18:39:38 | s05_patterns                   | INFO    | Storing 710,531 signal rows…
2026-04-01 18:39:40 | s05_patterns                   | INFO    | ✓ Signals table: 710,531 rows
2026-04-01 18:39:40 | dashboard_api                  | INFO    | [india] Pipeline step 'patterns' OK  (2.8s)
2026-04-01 18:39:40 | s06_regime                     | INFO    |   Computing market breadth for INDIA…
2026-04-01 18:39:40 | s06_regime                     | INFO    | INDIA: 4435 days, 66.8% bull (7.9% recovery), 33.2% bear, 14.6% weak-market days, avg breadth 49.8%
2026-04-01 18:39:40 | s06_regime                     | INFO    | ✓ Regime table: 4,435 rows
2026-04-01 18:39:40 | dashboard_api                  | INFO    | [india] Pipeline step 'regime' OK  (0.0s)
2026-04-01 18:39:40 | s07_signals                    | INFO    | ══════════════════════════════════════════════════
2026-04-01 18:39:40 | s07_signals                    | INFO    | Signal engine: INDIA
2026-04-01 18:39:40 | s07_signals                    | INFO    | ══════════════════════════════════════════════════
2026-04-01 18:39:41 | s07_signals                    | INFO    | Loaded 710,531 rows, 1858 tickers
2026-04-01 18:39:42 | s07_signals                    | INFO    |   Watchlist: 49,643 leader candidates across 496 correction days
2026-04-01 18:39:42 | s07_signals                    | INFO    | Applying signal filters…
2026-04-01 18:39:42 | s07_signals                    | INFO    |   After regime filter: 571,018 / 710,531
2026-04-01 18:39:42 | s07_signals                    | INFO    |   After breadth ≥ 30%: 512,147 (removed 58,871)
2026-04-01 18:39:42 | s07_signals                    | INFO    |   After Trend Template: 49,606
2026-04-01 18:39:42 | s07_signals                    | INFO    |   After RS ≥ 0.85: 16,640
2026-04-01 18:39:42 | s07_signals                    | INFO    |   After excluding ['Utilities', 'Consumer Staples']: 16,640 (removed 0)
2026-04-01 18:39:42 | s07_signals                    | INFO    |   After breakout: 1,171
2026-04-01 18:39:42 | s07_signals                    | INFO    |   After pattern filter: 623
2026-04-01 18:39:42 | s07_signals                    | INFO    |   Fundamentals filter: DISABLED (market-specific override)
2026-04-01 18:39:42 | s07_signals                    | INFO    |   Injected 1,081 watchlist leaders as priority candidates
2026-04-01 18:39:42 | s07_signals                    | INFO    |   Composite score: avg=0.633
2026-04-01 18:39:42 | s07_signals                    | INFO    | ✓ INDIA: 1,704 momentum candidate signals across 272 days  tiers={'watchlist_leader': 1081, 'vcp': 622, 'ipo_base': 1}
2026-04-01 18:39:42 | s07_signals                    | INFO    | Storing 1,704 candidate rows…
2026-04-01 18:39:42 | s07_signals                    | INFO    | ✓ Candidates table: 1,704 rows
2026-04-01 18:39:42 | s07_signals                    | INFO    | ✓ Watchlist table: 49,643 leader candidates during corrections
2026-04-01 18:39:42 | dashboard_api                  | INFO    | [india] Pipeline step 'signals' OK  (1.7s)
2026-04-01 18:39:42 | dashboard_api                  | INFO    | Pipeline done
2026-04-01 18:39:42 | watchlist                      | INFO    | Watchlist: 63 candidates (down_days >= 2)
2026-04-01 18:39:42 | dashboard_api                  | INFO    | Watchlist: 63 tickers
2026-04-01 18:40:17 | kite_intraday                  | INFO    | [50/63] 79% — 37,999 candles total (15minute: 24,999, 30minute: 13,000)
