avg_xirr,avg_dd,avg_sharpe,avg_trades,avg_win_rate,experiment,variant,down_days,rvol,trail,hold,entry_mode,label,holdout_xirr,holdout_dd,holdout_sharpe,holdout_trades,holdout_wr
1246.1,-12.7,4.81,905.0,54.7,baseline,none,4,1.5,0.03,10,close,baseline_none_D4_R1.5_T0.03_H10,859.4,-13.0,4.78,1569,52.1
964.7,-7.1,5.03,778.0,61.0,vol_follow,volr_1.0,4,1.5,0.02,10,close,vol_follow_volr_1.0_D4_R1.5_T0.02_H10,997.7,-8.9,4.77,1377,56.6
749.8,-12.1,4.6,793.0,54.2,gap_filter,gap_0.03,4,1.5,0.03,10,close,gap_filter_gap_0.03_D4_R1.5_T0.03_H10,754.4,-13.3,4.75,1422,52.7
1385.0,-6.9,5.23,812.0,61.6,baseline,none,5,1.0,0.02,10,close,baseline_none_D5_R1.0_T0.02_H10,1409.0,-9.2,4.74,1416,56.6
1255.5,-7.0,5.21,812.0,61.5,baseline,none,5,1.0,0.02,7,close,baseline_none_D5_R1.0_T0.02_H7,1262.3,-9.2,4.73,1416,56.5
553.8,-7.4,4.69,637.0,60.9,vol_follow,volr_1.5,4,1.5,0.02,7,close,vol_follow_volr_1.5_D4_R1.5_T0.02_H7,511.7,-9.2,4.73,1151,55.3
1013.6,-12.5,4.76,905.0,54.6,baseline,none,4,1.5,0.03,7,close,baseline_none_D4_R1.5_T0.03_H7,723.9,-12.9,4.72,1569,51.9
1396.8,-17.8,4.81,1195.0,53.0,gap_filter,gap_0.03,3,1.5,0.03,10,close,gap_filter_gap_0.03_D3_R1.5_T0.03_H10,1175.7,-17.5,4.71,2092,50.9
1197.3,-7.2,5.21,789.0,61.9,gap_filter,gap_0.05,5,1.0,0.02,10,close,gap_filter_gap_0.05_D5_R1.0_T0.02_H10,1275.9,-9.2,4.71,1384,57.2
510.7,-6.3,4.42,696.0,56.3,t1_entry,next_open,4,2.0,0.02,7,next_open,t1_entry_next_open_D4_R2.0_T0.02_H7,554.5,-7.2,4.7,1254,55.1
995.3,-16.7,4.57,1122.0,53.6,gap_filter,gap_0.02,3,1.5,0.03,7,close,gap_filter_gap_0.02_D3_R1.5_T0.03_H7,852.3,-16.1,4.7,1981,52.4
1109.1,-7.3,5.18,789.0,61.8,gap_filter,gap_0.05,5,1.0,0.02,7,close,gap_filter_gap_0.05_D5_R1.0_T0.02_H7,1169.6,-9.2,4.68,1384,57.0
1267.9,-13.2,4.87,991.0,53.8,gap_filter,gap_0.05,3,2.0,0.03,10,close,gap_filter_gap_0.05_D3_R2.0_T0.03_H10,851.9,-17.6,4.68,1766,51.3
1621.1,-16.5,4.66,1193.0,50.5,t1_entry,next_open,4,1.0,0.03,10,next_open,t1_entry_next_open_D4_R1.0_T0.03_H10,973.9,-19.2,4.67,2024,48.0
1449.8,-12.0,5.09,1203.0,54.0,vol_follow,volr_1.5,3,1.0,0.03,7,close,vol_follow_volr_1.5_D3_R1.0_T0.03_H7,920.2,-14.2,4.67,2036,51.0
565.2,-6.3,4.38,696.0,56.3,t1_entry,next_open,4,2.0,0.02,10,next_open,t1_entry_next_open_D4_R2.0_T0.02_H10,623.5,-7.2,4.66,1254,54.9
902.5,-12.8,4.59,867.0,54.4,gap_filter,gap_0.05,4,1.5,0.03,7,close,gap_filter_gap_0.05_D4_R1.5_T0.03_H7,710.9,-13.7,4.65,1509,51.9
1129.2,-13.6,4.96,1052.0,53.5,baseline,none,3,2.0,0.03,7,close,baseline_none_D3_R2.0_T0.03_H7,812.2,-18.2,4.65,1846,51.1
613.7,-12.4,4.45,793.0,54.1,gap_filter,gap_0.03,4,1.5,0.03,7,close,gap_filter_gap_0.03_D4_R1.5_T0.03_H7,631.0,-13.3,4.63,1422,52.5
570.1,-7.4,4.67,637.0,60.9,vol_follow,volr_1.5,4,1.5,0.02,10,close,vol_follow_volr_1.5_D4_R1.5_T0.02_H10,544.3,-9.2,4.62,1151,55.3
