avg_xirr,avg_dd,avg_sharpe,avg_trades,avg_win_rate,depth,breadth_mode,breadth_factor,down_days,rvol,trail,hold,label,holdout_xirr,holdout_dd,holdout_sharpe,holdout_trades,holdout_wr,holdout_avg_size,xirr_pct_of_base,dd_improvement,wr_improvement
1965.2,-5.4,6.37,1297.0,53.3,,skip_30-55,0.0,3,1.5,0.02,7,dNone_skip_30-55_D3_R1.5_T0.02_H7,1038.2,-5.5,6.09,2222,43.0,0.746,54.62772954485662,-5.1,-12.0
1713.4,-7.9,6.49,1267.0,58.6,-0.3,none,1.0,3,1.5,0.02,7,d30_none_D3_R1.5_T0.02_H7,1565.2,-8.5,6.57,2202,54.8,1.0,82.3572744014733,-2.0999999999999996,-0.20000000000000284
1713.4,-7.9,6.49,1267.0,58.6,-0.3,reduce_30-50_1.0,1.0,3,1.5,0.02,7,d30_reduce_30-50_1.0_D3_R1.5_T0.02_H7,1565.2,-8.5,6.57,2202,54.8,1.0,82.3572744014733,-2.0999999999999996,-0.20000000000000284
1646.9,-7.8,6.48,1267.0,58.6,-0.3,reduce_30-50_0.8,0.8,3,1.5,0.02,7,d30_reduce_30-50_0.8_D3_R1.5_T0.02_H7,1436.8,-8.2,6.57,2202,54.8,0.96,75.60115759010786,-2.4000000000000004,-0.20000000000000284
1587.1,-7.7,6.45,1267.0,58.6,-0.3,reduce_30-50_0.6,0.6,3,1.5,0.02,7,d30_reduce_30-50_0.6_D3_R1.5_T0.02_H7,1316.4,-7.8,6.51,2202,54.8,0.921,69.26598263614838,-2.8,-0.20000000000000284
1559.5,-7.6,6.43,1267.0,58.6,-0.3,reduce_30-50_0.5,0.5,3,1.5,0.02,7,d30_reduce_30-50_0.5_D3_R1.5_T0.02_H7,1259.1,-7.6,6.47,2202,54.8,0.901,66.25098658247829,-3.0,-0.20000000000000284
1533.3,-7.6,6.4,1267.0,58.6,-0.3,reduce_30-50_0.4,0.4,3,1.5,0.02,7,d30_reduce_30-50_0.4_D3_R1.5_T0.02_H7,1203.7,-7.6,6.41,2202,54.8,0.881,63.33596421994212,-3.0,-0.20000000000000284
1638.5,-7.7,6.49,1267.0,58.6,-0.3,reduce_30-55_0.8,0.8,3,1.5,0.02,7,d30_reduce_30-55_0.8_D3_R1.5_T0.02_H7,1420.1,-7.7,6.58,2202,54.8,0.949,74.72244146277295,-2.8999999999999995,-0.20000000000000284
1572.1,-7.4,6.46,1267.0,58.6,-0.3,reduce_30-55_0.6,0.6,3,1.5,0.02,7,d30_reduce_30-55_0.6_D3_R1.5_T0.02_H7,1285.5,-6.9,6.53,2202,54.8,0.898,67.64009471191792,-3.6999999999999993,-0.20000000000000284
1541.9,-7.3,6.43,1267.0,58.6,-0.3,reduce_30-55_0.5,0.5,3,1.5,0.02,7,d30_reduce_30-55_0.5_D3_R1.5_T0.02_H7,1221.9,-6.5,6.48,2202,54.8,0.873,64.29360694554065,-4.1,-0.20000000000000284
1513.4,-7.1,6.4,1267.0,58.6,-0.3,reduce_30-55_0.4,0.4,3,1.5,0.02,7,d30_reduce_30-55_0.4_D3_R1.5_T0.02_H7,1160.7,-6.1,6.41,2202,54.8,0.847,61.07340173638517,-4.5,-0.20000000000000284
1616.5,-7.6,6.48,1267.0,58.6,-0.3,reduce_25-55_0.8,0.8,3,1.5,0.02,7,d30_reduce_25-55_0.8_D3_R1.5_T0.02_H7,1376.2,-7.6,6.57,2202,54.8,0.941,72.41252302025782,-3.0,-0.20000000000000284
1534.5,-7.3,6.44,1267.0,58.6,-0.3,reduce_25-55_0.6,0.6,3,1.5,0.02,7,d30_reduce_25-55_0.6_D3_R1.5_T0.02_H7,1206.1,-6.6,6.5,2202,54.8,0.882,63.4622467771639,-4.0,-0.20000000000000284
1498.3,-7.1,6.4,1267.0,58.6,-0.3,reduce_25-55_0.5,0.5,3,1.5,0.02,7,d30_reduce_25-55_0.5_D3_R1.5_T0.02_H7,1127.6,-6.1,6.43,2202,54.8,0.852,59.33175480136805,-4.5,-0.20000000000000284
1548.2,-7.6,6.43,1267.0,58.6,-0.3,reduce_25-50_0.6,0.6,3,1.5,0.02,7,d30_reduce_25-50_0.6_D3_R1.5_T0.02_H7,1235.2,-7.6,6.48,2202,54.8,0.904,64.99342278347804,-3.0,-0.20000000000000284
1514.1,-7.5,6.4,1267.0,58.6,-0.3,reduce_25-50_0.5,0.5,3,1.5,0.02,7,d30_reduce_25-50_0.5_D3_R1.5_T0.02_H7,1162.1,-7.3,6.42,2202,54.8,0.88,61.147066561431195,-3.3,-0.20000000000000284
