avg_xirr,avg_dd,avg_sharpe,avg_trades,avg_win_rate,depth,gap,breadth_mode,down_days,rvol,trail,hold,label,holdout_xirr,holdout_dd,holdout_sharpe,holdout_trades,holdout_wr,xirr_pct_of_base,dd_improvement,wr_improvement,sweet_score
1074.8,-18.2,4.38,875.0,52.4,-0.3,-0.05,only_broad>50,4,1.0,0.03,10,d30_g5_only_broad>50_D4_R1.0_T0.03_H10,327.2,-19.9,3.85,1192,51.1,14.946099031609721,9.499999999999998,-3.6000000000000014,-999.0
1280.8,-6.5,5.71,905.0,60.9,,,none,4,1.5,0.02,7,dNone_gNone_none_D4_R1.5_T0.02_H7,1074.9,-8.5,5.89,1569,57.2,49.10012790060297,-1.9000000000000004,2.5,-999.0
1091.4,-5.7,5.47,799.0,61.4,,,skip_30-50,4,1.5,0.02,7,dNone_gNone_skip_30-50_D4_R1.5_T0.02_H7,721.8,-6.2,5.42,1252,58.5,32.970948291613375,-4.2,3.799999999999997,-999.0
569.1,-6.1,5.13,645.0,62.9,,-0.03,skip_25-55,4,1.5,0.02,7,dNone_g3_skip_25-55_D4_R1.5_T0.02_H7,460.7,-6.8,5.26,979,62.5,21.04421706559474,-3.6000000000000005,7.799999999999997,-999.0
685.1,-7.8,5.2,749.0,60.9,-0.25,,skip_30-50,4,1.5,0.02,7,d25_gNone_skip_30-50_D4_R1.5_T0.02_H7,533.5,-6.2,5.32,1217,58.4,24.36963274255436,-4.2,3.6999999999999957,-999.0
443.5,-5.4,4.43,525.0,63.1,,-0.03,only_bear<25,4,1.5,0.02,7,dNone_g3_only_bear<25_D4_R1.5_T0.02_H7,183.4,-4.5,3.93,619,61.7,8.377489493879043,-5.9,7.0,-999.0
357.4,-6.5,4.71,602.0,59.9,-0.2,-0.03,skip_30-55,4,1.5,0.02,7,d20_g3_skip_30-55_D4_R1.5_T0.02_H7,393.6,-6.4,5.08,983,59.5,17.979170473232234,-4.0,4.799999999999997,-999.0
278.5,-7.0,4.37,542.0,60.8,-0.2,-0.02,skip_25-55,4,1.5,0.02,7,d20_g2_skip_25-55_D4_R1.5_T0.02_H7,298.3,-6.8,4.8,874,61.9,13.625982093915587,-3.6000000000000005,7.199999999999996,-999.0
196.9,-5.9,3.76,453.0,59.0,-0.2,-0.02,only_bear<30,4,1.5,0.02,7,d20_g2_only_bear<30_D4_R1.5_T0.02_H7,126.9,-6.4,3.64,608,58.7,5.796638041293624,-4.0,4.0,-999.0
186.1,-5.9,3.73,434.0,59.9,-0.2,-0.02,only_bear<25,4,1.5,0.02,7,d20_g2_only_bear<25_D4_R1.5_T0.02_H7,101.0,-6.4,3.58,550,59.6,4.613557463913759,-4.0,4.899999999999999,-999.0
