avg_xirr,avg_dd,avg_sharpe,avg_trades,avg_win_rate,bucket,down_days,rvol,trail,hold,label,holdout_xirr,holdout_dd,holdout_sharpe,holdout_trades,holdout_wr
1086.1,-6.2,5.16,637.0,65.7,min_10%,4,1.5,0.02,10,min_10%_D4_R1.5_T0.02_H10,1098.4,-7.8,5.18,1061,62.6
951.3,-7.3,5.25,673.0,63.1,min_10%,3,2.0,0.02,10,min_10%_D3_R2.0_T0.02_H10,942.2,-11.8,5.16,1125,58.9
3160.4,-16.3,5.68,1498.0,52.8,min_5%,3,1.0,0.03,7,min_5%_D3_R1.0_T0.03_H7,1797.8,-20.3,5.16,2440,50.1
2236.4,-16.0,5.61,1498.0,52.6,min_5%,3,1.0,0.03,5,min_5%_D3_R1.0_T0.03_H5,1361.1,-19.5,5.15,2440,49.6
831.7,-7.3,5.24,673.0,62.9,min_10%,3,2.0,0.02,5,min_10%_D3_R2.0_T0.02_H5,775.9,-11.8,5.15,1125,58.6
463.8,-8.4,4.91,646.0,61.5,max_25%,4,2.0,0.02,10,max_25%_D4_R2.0_T0.02_H10,545.5,-8.0,5.15,1206,57.0
2004.0,-16.1,5.48,1635.0,52.0,max_25%,3,1.0,0.03,5,max_25%_D3_R1.0_T0.03_H5,1075.1,-16.5,5.15,2727,49.8
2354.5,-16.0,5.26,1193.0,53.6,no_filter,4,1.0,0.03,10,no_filter_D4_R1.0_T0.03_H10,1361.3,-19.1,5.14,2024,50.7
4440.3,-16.3,5.75,1498.0,52.9,min_5%,3,1.0,0.03,10,min_5%_D3_R1.0_T0.03_H10,2232.2,-20.3,5.12,2440,50.2
534.0,-6.5,4.86,450.0,68.9,15-20%,3,1.0,0.02,7,15-20%_D3_R1.0_T0.02_H7,445.4,-8.3,5.11,724,65.9
531.9,-6.5,4.88,450.0,68.9,15-20%,3,1.0,0.02,10,15-20%_D3_R1.0_T0.02_H10,446.1,-8.3,5.11,724,65.9
510.6,-6.5,4.93,450.0,68.9,15-20%,3,1.0,0.02,5,15-20%_D3_R1.0_T0.02_H5,433.4,-8.3,5.09,724,65.9
400.5,-8.4,4.83,646.0,61.1,max_25%,4,2.0,0.02,5,max_25%_D4_R2.0_T0.02_H5,454.3,-8.0,5.07,1206,56.6
606.7,-7.3,4.9,654.0,62.3,min_5%,4,2.0,0.02,7,min_5%_D4_R2.0_T0.02_H7,641.9,-8.1,5.07,1172,57.5
3713.5,-18.5,5.53,1598.0,51.7,max_20%,3,1.0,0.03,10,max_20%_D3_R1.0_T0.03_H10,1611.2,-17.6,5.06,2680,49.8
1087.3,-7.3,5.31,812.0,61.9,no_filter,5,1.0,0.02,5,no_filter_D5_R1.0_T0.02_H5,1099.9,-9.2,5.05,1416,57.1
1070.3,-6.4,5.26,778.0,62.1,min_5%,5,1.0,0.02,5,min_5%_D5_R1.0_T0.02_H5,1092.8,-8.0,5.04,1350,57.4
2182.8,-14.6,5.48,1343.0,53.9,no_filter,3,1.5,0.03,7,no_filter_D3_R1.5_T0.03_H7,1266.9,-19.5,5.03,2282,51.0
476.1,-10.5,4.7,982.0,54.9,max_15%,4,1.0,0.02,5,max_15%_D4_R1.0_T0.02_H5,571.3,-10.3,5.03,1770,52.3
563.7,-7.3,4.87,654.0,62.1,min_5%,4,2.0,0.02,5,min_5%_D4_R2.0_T0.02_H5,589.7,-8.1,5.03,1172,57.5
2578.1,-18.7,5.34,1598.0,51.5,max_20%,3,1.0,0.03,7,max_20%_D3_R1.0_T0.03_H7,1214.7,-17.3,5.02,2680,49.7
